"Town","FIPS","Year","Grade","MeasureType","Variable","Value"
"Stamford","0900173070",2009,"3","Percent","Students absent 20 or more days",5.4
"Sterling","0901573420",2009,"3","Percent","Students absent 20 or more days",2.1
"Stonington","0901173770",2009,"3","Percent","Students absent 20 or more days",15.2
"Stratford","0900174190",2009,"3","Percent","Students absent 20 or more days",5.2
"Suffield","0900374540",2009,"3","Percent","Students absent 20 or more days",1.1
"Thomaston","0900575730",2009,"3","Percent","Students absent 20 or more days",2.3
"Thompson","0901575870",2009,"3","Percent","Students absent 20 or more days",4.9
"Tolland","0901376290",2009,"3","Percent","Students absent 20 or more days",1.9
"Torrington","0900576570",2009,"3","Percent","Students absent 20 or more days",5.1
"Trumbull","0900177200",2009,"3","Percent","Students absent 20 or more days",10.7
"Union","0901377830",2009,"3","Percent","Students absent 20 or more days",0
"Vernon","0901378250",2009,"3","Percent","Students absent 20 or more days",3.2
"Voluntown","0901178600",2009,"3","Percent","Students absent 20 or more days",0
"Wallingford","0900978740",2009,"3","Percent","Students absent 20 or more days",6.6
"Washington","0900579720",2009,"3","Percent","Students absent 20 or more days",3.1
"Waterbury","0900980070",2009,"3","Percent","Students absent 20 or more days",3
"Waterford","0901180280",2009,"3","Percent","Students absent 20 or more days",1.4
"Watertown","0900580490",2009,"3","Percent","Students absent 20 or more days",1.9
"West Hartford","0900382590",2009,"3","Percent","Students absent 20 or more days",2.2
"West Haven","0900982870",2009,"3","Percent","Students absent 20 or more days",8.7
"Westbrook","0900781680",2009,"3","Percent","Students absent 20 or more days",2.2
"Weston","0900183430",2009,"3","Percent","Students absent 20 or more days",1.1
"Westport","0900183500",2009,"3","Percent","Students absent 20 or more days",1.5
"Wethersfield","0900384900",2009,"3","Percent","Students absent 20 or more days",2.1
"Willington","0901385950",2009,"3","Percent","Students absent 20 or more days",0
"Wilton","0900186370",2009,"3","Percent","Students absent 20 or more days",2.2
"Winchester","0900586440",2009,"3","Percent","Students absent 20 or more days",4.1
"Windham","0901586790",2009,"3","Percent","Students absent 20 or more days",6.9
"Windsor","0900387000",2009,"3","Percent","Students absent 20 or more days",2.8
"Windsor Locks","0900387070",2009,"3","Percent","Students absent 20 or more days",6.8
"Wolcott","0900987560",2009,"3","Percent","Students absent 20 or more days",1.1
"Woodbridge","0900987700",2009,"3","Percent","Students absent 20 or more days",2.7
"Woodbury","0900587910",2009,"3","Percent","Students absent 20 or more days",1.6
"Woodstock","0901588190",2009,"3","Percent","Students absent 20 or more days",5.2
"Andover","0901301080",2010,"3","Percent","Students absent 20 or more days",2.86
"Ansonia","0900901220",2010,"3","Percent","Students absent 20 or more days",7.21
"Ashford","0901501430",2010,"3","Percent","Students absent 20 or more days",4.17
"Avon","0900302060",2010,"3","Percent","Students absent 20 or more days",4.2
"Barkhamsted","0900502760",2010,"3","Percent","Students absent 20 or more days",5.88
"Beacon Falls","0900903250",2010,"3","Percent","Students absent 20 or more days",4
"Berlin","0900304300",2010,"3","Percent","Students absent 20 or more days",3.81
"Bethany","0900904580",2010,"3","Percent","Students absent 20 or more days",2.41
"Bethel","0900104720",2010,"3","Percent","Students absent 20 or more days",2.92
"Bethlehem","0900504930",2010,"3","Percent","Students absent 20 or more days",6.12
"Bloomfield","0900305910",2010,"3","Percent","Students absent 20 or more days",3.21
"Bolton","0901306260",2010,"3","Percent","Students absent 20 or more days",7.02
"Bozrah","0901106820",2010,"3","Percent","Students absent 20 or more days",0
"Branford","0900907310",2010,"3","Percent","Students absent 20 or more days",2.09
"Bridgeport","0900108070",2010,"3","Percent","Students absent 20 or more days",11.16
"Bridgewater","0900508210",2010,"3","Percent","Students absent 20 or more days",6.17
"Bristol","0900308490",2010,"3","Percent","Students absent 20 or more days",6.96
"Brookfield","0900108980",2010,"3","Percent","Students absent 20 or more days",3.54
"Brooklyn","0901509190",2010,"3","Percent","Students absent 20 or more days",7.14
"Burlington","0900310100",2010,"3","Percent","Students absent 20 or more days",2.21
"Canaan","0900510940",2010,"3","Percent","Students absent 20 or more days",0
"Canterbury","0901512130",2010,"3","Percent","Students absent 20 or more days",3.33
"Canton","0900312270",2010,"3","Percent","Students absent 20 or more days",4.58
"Chaplin","0901513810",2010,"3","Percent","Students absent 20 or more days",0
"Cheshire","0900914160",2010,"3","Percent","Students absent 20 or more days",1.12
"Chester","0900714300",2010,"3","Percent","Students absent 20 or more days",9.09
"Clinton","0900715350",2010,"3","Percent","Students absent 20 or more days",12.99
"Colchester","0901115910",2010,"3","Percent","Students absent 20 or more days",1.7
"Colebrook","0900516050",2010,"3","Percent","Students absent 20 or more days",5.26
"Columbia","0901316400",2010,"3","Percent","Students absent 20 or more days",5.26
"Cornwall","0900517240",2010,"3","Percent","Students absent 20 or more days",0
"Coventry","0901317800",2010,"3","Percent","Students absent 20 or more days",5
"Cromwell","0900718080",2010,"3","Percent","Students absent 20 or more days",4.73
"Danbury","0900118500",2010,"3","Percent","Students absent 20 or more days",3.28
"Darien","0900118850",2010,"3","Percent","Students absent 20 or more days",1.36
"Deep River","0900719130",2010,"3","Percent","Students absent 20 or more days",3.64
"Derby","0900919550",2010,"3","Percent","Students absent 20 or more days",11.01
"Durham","0900720810",2010,"3","Percent","Students absent 20 or more days",2.78
"East Granby","0900322070",2010,"3","Percent","Students absent 20 or more days",4.88
"East Haddam","0900722280",2010,"3","Percent","Students absent 20 or more days",6.52
"East Hampton","0900722490",2010,"3","Percent","Students absent 20 or more days",5.92
"East Hartford","0900322630",2010,"3","Percent","Students absent 20 or more days",10
"East Haven","0900922910",2010,"3","Percent","Students absent 20 or more days",6.33
"East Lyme","0901123400",2010,"3","Percent","Students absent 20 or more days",2.93
"East Windsor","0900324800",2010,"3","Percent","Students absent 20 or more days",2.86
"Eastford","0901521860",2010,"3","Percent","Students absent 20 or more days",13.04
"Easton","0900123890",2010,"3","Percent","Students absent 20 or more days",3.94
"Ellington","0901325360",2010,"3","Percent","Students absent 20 or more days",2.83
"Enfield","0900325990",2010,"3","Percent","Students absent 20 or more days",5.14
"Essex","0900726270",2010,"3","Percent","Students absent 20 or more days",1.39
"Fairfield","0900126620",2010,"3","Percent","Students absent 20 or more days",2.48
"Farmington","0900327600",2010,"3","Percent","Students absent 20 or more days",4.24
"Franklin","0901129910",2010,"3","Percent","Students absent 20 or more days",0
"Glastonbury","0900331240",2010,"3","Percent","Students absent 20 or more days",1.69
"Goshen","0900532290",2010,"3","Percent","Students absent 20 or more days",1.33
"Granby","0900332640",2010,"3","Percent","Students absent 20 or more days",2.3
"Greenwich","0900133620",2010,"3","Percent","Students absent 20 or more days",7.02
"Griswold","0901133900",2010,"3","Percent","Students absent 20 or more days",6.08
"Groton","0901134250",2010,"3","Percent","Students absent 20 or more days",6.75
"Guilford","0900934950",2010,"3","Percent","Students absent 20 or more days",1.47
"Haddam","0900735230",2010,"3","Percent","Students absent 20 or more days",3.7
"Hamden","0900935650",2010,"3","Percent","Students absent 20 or more days",6.84
"Hampton","0901536000",2010,"3","Percent","Students absent 20 or more days",9.09
"Hartford","0900337070",2010,"3","Percent","Students absent 20 or more days",17.41
"Hartland","0900337140",2010,"3","Percent","Students absent 20 or more days",0
"Harwinton","0900537280",2010,"3","Percent","Students absent 20 or more days",2.21
"Hebron","0901337910",2010,"3","Percent","Students absent 20 or more days",1.37
"Kent","0900540290",2010,"3","Percent","Students absent 20 or more days",2.94
"Killingly","0901540500",2010,"3","Percent","Students absent 20 or more days",10.34
"Killingworth","0900740710",2010,"3","Percent","Students absent 20 or more days",3.7
"Lebanon","0901142390",2010,"3","Percent","Students absent 20 or more days",5.21
"Ledyard","0901142600",2010,"3","Percent","Students absent 20 or more days",7.65
"Lisbon","0901143230",2010,"3","Percent","Students absent 20 or more days",7.55
"Litchfield","0900543370",2010,"3","Percent","Students absent 20 or more days",7.69
"Lyme","0901144210",2010,"3","Percent","Students absent 20 or more days",2.68
"Madison","0900944560",2010,"3","Percent","Students absent 20 or more days",5.06
"Manchester","0900344700",2010,"3","Percent","Students absent 20 or more days",7.32
"Mansfield","0901344910",2010,"3","Percent","Students absent 20 or more days",3.76
"Marlborough","0900345820",2010,"3","Percent","Students absent 20 or more days",4.9
"Meriden","0900946520",2010,"3","Percent","Students absent 20 or more days",14.56
"Middlebury","0900946940",2010,"3","Percent","Students absent 20 or more days",1.98
"Middlefield","0900747080",2010,"3","Percent","Students absent 20 or more days",2.78
"Middletown","0900747360",2010,"3","Percent","Students absent 20 or more days",6.74
"Milford","0900947535",2010,"3","Percent","Students absent 20 or more days",7.08
"Monroe","0900148620",2010,"3","Percent","Students absent 20 or more days",1.9
"Montville","0901148900",2010,"3","Percent","Students absent 20 or more days",2.48
"Morris","0900549460",2010,"3","Percent","Students absent 20 or more days",1.33
"Naugatuck","0900949950",2010,"3","Percent","Students absent 20 or more days",7.3
"New Britain","0900350440",2010,"3","Percent","Students absent 20 or more days",13.23
"New Canaan","0900150580",2010,"3","Percent","Students absent 20 or more days",3.7
"New Fairfield","0900150860",2010,"3","Percent","Students absent 20 or more days",5.74
"New Hartford","0900551350",2010,"3","Percent","Students absent 20 or more days",5.62
"New Haven","0900952070",2010,"3","Percent","Students absent 20 or more days",13.96
"New London","0901152350",2010,"3","Percent","Students absent 20 or more days",33.61
"New Milford","0900552630",2010,"3","Percent","Students absent 20 or more days",6.51
"Newington","0900352140",2010,"3","Percent","Students absent 20 or more days",3.91
"Newtown","0900152980",2010,"3","Percent","Students absent 20 or more days",2.91
"Norfolk","0900553470",2010,"3","Percent","Students absent 20 or more days",3.45
"North Branford","0900953890",2010,"3","Percent","Students absent 20 or more days",1.2
"North Canaan","0900554030",2010,"3","Percent","Students absent 20 or more days",7.89
"North Haven","0900954870",2010,"3","Percent","Students absent 20 or more days",4.38
"North Stonington","0901155500",2010,"3","Percent","Students absent 20 or more days",1.82
"Norwalk","0900156060",2010,"3","Percent","Students absent 20 or more days",4.46
"Norwich","0901156270",2010,"3","Percent","Students absent 20 or more days",11.11
"Old Lyme","0901157040",2010,"3","Percent","Students absent 20 or more days",2.68
"Old Saybrook","0900757320",2010,"3","Percent","Students absent 20 or more days",3.88
"Orange","0900957600",2010,"3","Percent","Students absent 20 or more days",2.69
"Oxford","0900958300",2010,"3","Percent","Students absent 20 or more days",5.52
"Plainfield","0901559980",2010,"3","Percent","Students absent 20 or more days",5.74
"Plainville","0900360120",2010,"3","Percent","Students absent 20 or more days",4.19
"Plymouth","0900560750",2010,"3","Percent","Students absent 20 or more days",6.25
"Pomfret","0901561030",2010,"3","Percent","Students absent 20 or more days",2
"Portland","0900761800",2010,"3","Percent","Students absent 20 or more days",4.58
"Preston","0901162150",2010,"3","Percent","Students absent 20 or more days",9.09
"Prospect","0900962290",2010,"3","Percent","Students absent 20 or more days",4
"Putnam","0901562710",2010,"3","Percent","Students absent 20 or more days",7.22
"Redding","0900163480",2010,"3","Percent","Students absent 20 or more days",3.62
"Ridgefield","0900163970",2010,"3","Percent","Students absent 20 or more days",3.45
"Rocky Hill","0900365370",2010,"3","Percent","Students absent 20 or more days",4.35
"Roxbury","0900565930",2010,"3","Percent","Students absent 20 or more days",6.17
"Salem","0901166210",2010,"3","Percent","Students absent 20 or more days",8.93
"Salisbury","0900566420",2010,"3","Percent","Students absent 20 or more days",4
"Scotland","0901567400",2010,"3","Percent","Students absent 20 or more days",5.88
"Seymour","0900967610",2010,"3","Percent","Students absent 20 or more days",5.38
"Sharon","0900567960",2010,"3","Percent","Students absent 20 or more days",11.11
"Shelton","0900168170",2010,"3","Percent","Students absent 20 or more days",5.82
"Sherman","0900168310",2010,"3","Percent","Students absent 20 or more days",8.16
"Simsbury","0900368940",2010,"3","Percent","Students absent 20 or more days",3.33
"Somers","0901369220",2010,"3","Percent","Students absent 20 or more days",4.65
"South Windsor","0900371390",2010,"3","Percent","Students absent 20 or more days",40.51
"Southbury","0900969640",2010,"3","Percent","Students absent 20 or more days",1.98
"Southington","0900370550",2010,"3","Percent","Students absent 20 or more days",4.56
"Sprague","0901171670",2010,"3","Percent","Students absent 20 or more days",0
"Stafford","0901372090",2010,"3","Percent","Students absent 20 or more days",9.23
"Stamford","0900173070",2010,"3","Percent","Students absent 20 or more days",6.79
"Sterling","0901573420",2010,"3","Percent","Students absent 20 or more days",11.36
"Stonington","0901173770",2010,"3","Percent","Students absent 20 or more days",4.44
"Stratford","0900174190",2010,"3","Percent","Students absent 20 or more days",5.17
"Suffield","0900374540",2010,"3","Percent","Students absent 20 or more days",1.02
"Thomaston","0900575730",2010,"3","Percent","Students absent 20 or more days",3.26
"Thompson","0901575870",2010,"3","Percent","Students absent 20 or more days",6.6
"Tolland","0901376290",2010,"3","Percent","Students absent 20 or more days",0.44
"Torrington","0900576570",2010,"3","Percent","Students absent 20 or more days",10.51
"Trumbull","0900177200",2010,"3","Percent","Students absent 20 or more days",12.09
"Union","0901377830",2010,"3","Percent","Students absent 20 or more days",0
"Vernon","0901378250",2010,"3","Percent","Students absent 20 or more days",6.54
"Voluntown","0901178600",2010,"3","Percent","Students absent 20 or more days",3.33
"Wallingford","0900978740",2010,"3","Percent","Students absent 20 or more days",8.42
"Warren","0900579510",2010,"3","Percent","Students absent 20 or more days",1.33
"Washington","0900579720",2010,"3","Percent","Students absent 20 or more days",6.17
"Waterbury","0900980070",2010,"3","Percent","Students absent 20 or more days",12.59
"Waterford","0901180280",2010,"3","Percent","Students absent 20 or more days",2.46
"Watertown","0900580490",2010,"3","Percent","Students absent 20 or more days",3.42
"West Hartford","0900382590",2010,"3","Percent","Students absent 20 or more days",4.14
"West Haven","0900982870",2010,"3","Percent","Students absent 20 or more days",16.47
"Westbrook","0900781680",2010,"3","Percent","Students absent 20 or more days",6.15
"Weston","0900183430",2010,"3","Percent","Students absent 20 or more days",4.69
"Westport","0900183500",2010,"3","Percent","Students absent 20 or more days",2.73
"Wethersfield","0900384900",2010,"3","Percent","Students absent 20 or more days",5.34
"Willington","0901385950",2010,"3","Percent","Students absent 20 or more days",0
"Wilton","0900186370",2010,"3","Percent","Students absent 20 or more days",1.51
"Winchester","0900586440",2010,"3","Percent","Students absent 20 or more days",7.02
"Windham","0901586790",2010,"3","Percent","Students absent 20 or more days",6.69
"Windsor","0900387000",2010,"3","Percent","Students absent 20 or more days",3.33
"Windsor Locks","0900387070",2010,"3","Percent","Students absent 20 or more days",5.79
"Wolcott","0900987560",2010,"3","Percent","Students absent 20 or more days",1.01
"Woodbridge","0900987700",2010,"3","Percent","Students absent 20 or more days",2.86
"Woodbury","0900587910",2010,"3","Percent","Students absent 20 or more days",6.12
"Woodstock","0901588190",2010,"3","Percent","Students absent 20 or more days",3
"Andover","0901301080",2011,"3","Percent","Students absent 20 or more days",2.08
"Ansonia","0900901220",2011,"3","Percent","Students absent 20 or more days",14.81
"Ashford","0901501430",2011,"3","Percent","Students absent 20 or more days",2.94
"Avon","0900302060",2011,"3","Percent","Students absent 20 or more days",3.73
"Barkhamsted","0900502760",2011,"3","Percent","Students absent 20 or more days",0
"Beacon Falls","0900903250",2011,"3","Percent","Students absent 20 or more days",2.03
"Berlin","0900304300",2011,"3","Percent","Students absent 20 or more days",2.45
"Bethany","0900904580",2011,"3","Percent","Students absent 20 or more days",4
"Bethel","0900104720",2011,"3","Percent","Students absent 20 or more days",6.47
"Bethlehem","0900504930",2011,"3","Percent","Students absent 20 or more days",0
"Bloomfield","0900305910",2011,"3","Percent","Students absent 20 or more days",3.73
"Bolton","0901306260",2011,"3","Percent","Students absent 20 or more days",8.16
"Bozrah","0901106820",2011,"3","Percent","Students absent 20 or more days",9.09
"Branford","0900907310",2011,"3","Percent","Students absent 20 or more days",4.82
"Bridgeport","0900108070",2011,"3","Percent","Students absent 20 or more days",14.02
"Bridgewater","0900508210",2011,"3","Percent","Students absent 20 or more days",7.41
"Bristol","0900308490",2011,"3","Percent","Students absent 20 or more days",6.38
"Brookfield","0900108980",2011,"3","Percent","Students absent 20 or more days",4.12
"Brooklyn","0901509190",2011,"3","Percent","Students absent 20 or more days",7.37
"Burlington","0900310100",2011,"3","Percent","Students absent 20 or more days",1.11
"Canaan","0900510940",2011,"3","Percent","Students absent 20 or more days",0
"Canterbury","0901512130",2011,"3","Percent","Students absent 20 or more days",5.8
"Canton","0900312270",2011,"3","Percent","Students absent 20 or more days",2.84
"Chaplin","0901513810",2011,"3","Percent","Students absent 20 or more days",0
"Cheshire","0900914160",2011,"3","Percent","Students absent 20 or more days",3.05
"Chester","0900714300",2011,"3","Percent","Students absent 20 or more days",4.55
"Clinton","0900715350",2011,"3","Percent","Students absent 20 or more days",14.71
"Colchester","0901115910",2011,"3","Percent","Students absent 20 or more days",0.46
"Colebrook","0900516050",2011,"3","Percent","Students absent 20 or more days",0
"Columbia","0901316400",2011,"3","Percent","Students absent 20 or more days",1.72
"Cornwall","0900517240",2011,"3","Percent","Students absent 20 or more days",13.33
"Coventry","0901317800",2011,"3","Percent","Students absent 20 or more days",2.04
"Cromwell","0900718080",2011,"3","Percent","Students absent 20 or more days",2.14
"Danbury","0900118500",2011,"3","Percent","Students absent 20 or more days",2.39
"Darien","0900118850",2011,"3","Percent","Students absent 20 or more days",1.1
"Deep River","0900719130",2011,"3","Percent","Students absent 20 or more days",4.08
"Derby","0900919550",2011,"3","Percent","Students absent 20 or more days",10.53
"Durham","0900720810",2011,"3","Percent","Students absent 20 or more days",0.62
"East Granby","0900322070",2011,"3","Percent","Students absent 20 or more days",1.89
"East Haddam","0900722280",2011,"3","Percent","Students absent 20 or more days",4.95
"East Hampton","0900722490",2011,"3","Percent","Students absent 20 or more days",2.65
"East Hartford","0900322630",2011,"3","Percent","Students absent 20 or more days",9.71
"East Haven","0900922910",2011,"3","Percent","Students absent 20 or more days",10.04
"East Lyme","0901123400",2011,"3","Percent","Students absent 20 or more days",2.82
"East Windsor","0900324800",2011,"3","Percent","Students absent 20 or more days",4.21
"Eastford","0901521860",2011,"3","Percent","Students absent 20 or more days",0
"Easton","0900123890",2011,"3","Percent","Students absent 20 or more days",3.51
"Ellington","0901325360",2011,"3","Percent","Students absent 20 or more days",5.99
"Enfield","0900325990",2011,"3","Percent","Students absent 20 or more days",7.89
"Essex","0900726270",2011,"3","Percent","Students absent 20 or more days",1.35
"Fairfield","0900126620",2011,"3","Percent","Students absent 20 or more days",2.25
"Farmington","0900327600",2011,"3","Percent","Students absent 20 or more days",2.41
"Franklin","0901129910",2011,"3","Percent","Students absent 20 or more days",5.56
"Glastonbury","0900331240",2011,"3","Percent","Students absent 20 or more days",1.52
"Goshen","0900532290",2011,"3","Percent","Students absent 20 or more days",0
"Granby","0900332640",2011,"3","Percent","Students absent 20 or more days",2.41
"Greenwich","0900133620",2011,"3","Percent","Students absent 20 or more days",3.5
"Griswold","0901133900",2011,"3","Percent","Students absent 20 or more days",6.72
"Groton","0901134250",2011,"3","Percent","Students absent 20 or more days",4.48
"Guilford","0900934950",2011,"3","Percent","Students absent 20 or more days",2.77
"Haddam","0900735230",2011,"3","Percent","Students absent 20 or more days",2.48
"Hamden","0900935650",2011,"3","Percent","Students absent 20 or more days",4.39
"Hampton","0901536000",2011,"3","Percent","Students absent 20 or more days",0
"Hartford","0900337070",2011,"3","Percent","Students absent 20 or more days",19.04
"Hartland","0900337140",2011,"3","Percent","Students absent 20 or more days",0
"Harwinton","0900537280",2011,"3","Percent","Students absent 20 or more days",1.11
"Hebron","0901337910",2011,"3","Percent","Students absent 20 or more days",1.85
"Kent","0900540290",2011,"3","Percent","Students absent 20 or more days",3.57
"Killingly","0901540500",2011,"3","Percent","Students absent 20 or more days",1.08
"Killingworth","0900740710",2011,"3","Percent","Students absent 20 or more days",2.48
"Lebanon","0901142390",2011,"3","Percent","Students absent 20 or more days",3.45
"Ledyard","0901142600",2011,"3","Percent","Students absent 20 or more days",3.45
"Lisbon","0901143230",2011,"3","Percent","Students absent 20 or more days",2.86
"Litchfield","0900543370",2011,"3","Percent","Students absent 20 or more days",3.45
"Lyme","0901144210",2011,"3","Percent","Students absent 20 or more days",6.67
"Madison","0900944560",2011,"3","Percent","Students absent 20 or more days",3.14
"Manchester","0900344700",2011,"3","Percent","Students absent 20 or more days",4.41
"Mansfield","0901344910",2011,"3","Percent","Students absent 20 or more days",4.41
"Marlborough","0900345820",2011,"3","Percent","Students absent 20 or more days",6.45
"Meriden","0900946520",2011,"3","Percent","Students absent 20 or more days",9.69
"Middlebury","0900946940",2011,"3","Percent","Students absent 20 or more days",3.17
"Middlefield","0900747080",2011,"3","Percent","Students absent 20 or more days",0.62
"Middletown","0900747360",2011,"3","Percent","Students absent 20 or more days",4.71
"Milford","0900947535",2011,"3","Percent","Students absent 20 or more days",3.99
"Monroe","0900148620",2011,"3","Percent","Students absent 20 or more days",2.56
"Montville","0901148900",2011,"3","Percent","Students absent 20 or more days",5.21
"Morris","0900549460",2011,"3","Percent","Students absent 20 or more days",0
"Naugatuck","0900949950",2011,"3","Percent","Students absent 20 or more days",6.05
"New Britain","0900350440",2011,"3","Percent","Students absent 20 or more days",11.36
"New Canaan","0900150580",2011,"3","Percent","Students absent 20 or more days",1.89
"New Fairfield","0900150860",2011,"3","Percent","Students absent 20 or more days",4.62
"New Hartford","0900551350",2011,"3","Percent","Students absent 20 or more days",2.27
"New Haven","0900952070",2011,"3","Percent","Students absent 20 or more days",11.42
"New London","0901152350",2011,"3","Percent","Students absent 20 or more days",12
"New Milford","0900552630",2011,"3","Percent","Students absent 20 or more days",4.35
"Newington","0900352140",2011,"3","Percent","Students absent 20 or more days",3.53
"Newtown","0900152980",2011,"3","Percent","Students absent 20 or more days",1.98
"Norfolk","0900553470",2011,"3","Percent","Students absent 20 or more days",6.67
"North Branford","0900953890",2011,"3","Percent","Students absent 20 or more days",1.91
"North Canaan","0900554030",2011,"3","Percent","Students absent 20 or more days",19.23
"North Haven","0900954870",2011,"3","Percent","Students absent 20 or more days",2.93
"North Stonington","0901155500",2011,"3","Percent","Students absent 20 or more days",7.84
"Norwalk","0900156060",2011,"3","Percent","Students absent 20 or more days",4.86
"Norwich","0901156270",2011,"3","Percent","Students absent 20 or more days",7.2
"Old Lyme","0901157040",2011,"3","Percent","Students absent 20 or more days",6.67
"Old Saybrook","0900757320",2011,"3","Percent","Students absent 20 or more days",2.38
"Orange","0900957600",2011,"3","Percent","Students absent 20 or more days",1.58
"Oxford","0900958300",2011,"3","Percent","Students absent 20 or more days",2.91
"Plainfield","0901559980",2011,"3","Percent","Students absent 20 or more days",2.69
"Plainville","0900360120",2011,"3","Percent","Students absent 20 or more days",2.81
"Plymouth","0900560750",2011,"3","Percent","Students absent 20 or more days",9.09
"Pomfret","0901561030",2011,"3","Percent","Students absent 20 or more days",0
"Portland","0900761800",2011,"3","Percent","Students absent 20 or more days",4.42
"Preston","0901162150",2011,"3","Percent","Students absent 20 or more days",1.85
"Prospect","0900962290",2011,"3","Percent","Students absent 20 or more days",2.03
"Putnam","0901562710",2011,"3","Percent","Students absent 20 or more days",11.63
"Redding","0900163480",2011,"3","Percent","Students absent 20 or more days",1.65
"Ridgefield","0900163970",2011,"3","Percent","Students absent 20 or more days",2.65
"Rocky Hill","0900365370",2011,"3","Percent","Students absent 20 or more days",3.76
"Roxbury","0900565930",2011,"3","Percent","Students absent 20 or more days",7.41
"Salem","0901166210",2011,"3","Percent","Students absent 20 or more days",0
"Salisbury","0900566420",2011,"3","Percent","Students absent 20 or more days",2.94
"Scotland","0901567400",2011,"3","Percent","Students absent 20 or more days",0
"Seymour","0900967610",2011,"3","Percent","Students absent 20 or more days",6.42
"Sharon","0900567960",2011,"3","Percent","Students absent 20 or more days",12.5
"Shelton","0900168170",2011,"3","Percent","Students absent 20 or more days",2.25
"Sherman","0900168310",2011,"3","Percent","Students absent 20 or more days",13.89
"Simsbury","0900368940",2011,"3","Percent","Students absent 20 or more days",3.13
"Somers","0901369220",2011,"3","Percent","Students absent 20 or more days",4.72
"South Windsor","0900371390",2011,"3","Percent","Students absent 20 or more days",0.61
"Southbury","0900969640",2011,"3","Percent","Students absent 20 or more days",3.17
"Southington","0900370550",2011,"3","Percent","Students absent 20 or more days",1.87
"Sprague","0901171670",2011,"3","Percent","Students absent 20 or more days",7.14
"Stafford","0901372090",2011,"3","Percent","Students absent 20 or more days",4.65
"Stamford","0900173070",2011,"3","Percent","Students absent 20 or more days",6.92
"Sterling","0901573420",2011,"3","Percent","Students absent 20 or more days",3.77
"Stonington","0901173770",2011,"3","Percent","Students absent 20 or more days",3.8
"Stratford","0900174190",2011,"3","Percent","Students absent 20 or more days",7.16
"Suffield","0900374540",2011,"3","Percent","Students absent 20 or more days",0
"Thomaston","0900575730",2011,"3","Percent","Students absent 20 or more days",2.78
"Thompson","0901575870",2011,"3","Percent","Students absent 20 or more days",5.71
"Tolland","0901376290",2011,"3","Percent","Students absent 20 or more days",2.87
"Torrington","0900576570",2011,"3","Percent","Students absent 20 or more days",4.62
"Trumbull","0900177200",2011,"3","Percent","Students absent 20 or more days",4.66
"Union","0901377830",2011,"3","Percent","Students absent 20 or more days",0
"Vernon","0901378250",2011,"3","Percent","Students absent 20 or more days",5.45
"Voluntown","0901178600",2011,"3","Percent","Students absent 20 or more days",3.45
"Wallingford","0900978740",2011,"3","Percent","Students absent 20 or more days",10.69
"Warren","0900579510",2011,"3","Percent","Students absent 20 or more days",0
"Washington","0900579720",2011,"3","Percent","Students absent 20 or more days",7.41
"Waterbury","0900980070",2011,"3","Percent","Students absent 20 or more days",6.07
"Waterford","0901180280",2011,"3","Percent","Students absent 20 or more days",1.91
"Watertown","0900580490",2011,"3","Percent","Students absent 20 or more days",3.21
"West Hartford","0900382590",2011,"3","Percent","Students absent 20 or more days",3.19
"West Haven","0900982870",2011,"3","Percent","Students absent 20 or more days",7.62
"Westbrook","0900781680",2011,"3","Percent","Students absent 20 or more days",3.51
"Weston","0900183430",2011,"3","Percent","Students absent 20 or more days",27.59
"Westport","0900183500",2011,"3","Percent","Students absent 20 or more days",1.9
"Wethersfield","0900384900",2011,"3","Percent","Students absent 20 or more days",3.55
"Willington","0901385950",2011,"3","Percent","Students absent 20 or more days",3.77
"Wilton","0900186370",2011,"3","Percent","Students absent 20 or more days",2.48
"Winchester","0900586440",2011,"3","Percent","Students absent 20 or more days",10
"Windham","0901586790",2011,"3","Percent","Students absent 20 or more days",8.49
"Windsor","0900387000",2011,"3","Percent","Students absent 20 or more days",4.06
"Windsor Locks","0900387070",2011,"3","Percent","Students absent 20 or more days",6.03
"Wolcott","0900987560",2011,"3","Percent","Students absent 20 or more days",0.48
"Woodbridge","0900987700",2011,"3","Percent","Students absent 20 or more days",0
"Woodbury","0900587910",2011,"3","Percent","Students absent 20 or more days",0
"Woodstock","0901588190",2011,"3","Percent","Students absent 20 or more days",4.95
"Andover","0901301080",2008,"K","Percent","Students absent 20 or more days",7.3
"Ansonia","0900901220",2008,"K","Percent","Students absent 20 or more days",9.7
"Ashford","0901501430",2008,"K","Percent","Students absent 20 or more days",2.9
"Avon","0900302060",2008,"K","Percent","Students absent 20 or more days",2.6
"Barkhamsted","0900502760",2008,"K","Percent","Students absent 20 or more days",0
"Beacon Falls","0900903250",2008,"K","Percent","Students absent 20 or more days",5.6
"Berlin","0900304300",2008,"K","Percent","Students absent 20 or more days",7.3
"Bethany","0900904580",2008,"K","Percent","Students absent 20 or more days",2.5
"Bethel","0900104720",2008,"K","Percent","Students absent 20 or more days",4.6
"Bethlehem","0900504930",2008,"K","Percent","Students absent 20 or more days",12.5
"Bloomfield","0900305910",2008,"K","Percent","Students absent 20 or more days",9.7
"Bolton","0901306260",2008,"K","Percent","Students absent 20 or more days",0
"Bozrah","0901106820",2008,"K","Percent","Students absent 20 or more days",10.7
"Branford","0900907310",2008,"K","Percent","Students absent 20 or more days",4.2
